CPT_CODE,CPT_LONG_DESCRIPTION,CPT_SHORT_DESCRIPTION
00100,"ANESTHESIA FOR PROCEDURES ON SALIVARY GLANDS, INCLUDING BIOPSY","ANESTH, SALIVARY GLAND"
00102,ANESTHESIA FOR PROCEDURES ON PLASTIC REPAIR OF CLEFT LIP,"ANESTH, REPAIR OF CLEFT LIP"
00103,"ANESTHESIA FOR RECONSTRUCTIVE PROCEDURES OF EYELID (EG, BLEPHAROPLASTY, PTOSIS SURGERY)","ANESTH, BLEPHAROPLASTY"
00104,ANESTHESIA FOR ELECTROCONVULSIVE THERAPY,"ANESTH, ELECTROSHOCK"
00120,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  NOT OTHERWISE SPECIFIED","ANESTH, EAR SURGERY"
00124,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  OTOSCOPY","ANESTH, EAR EXAM"
00126,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  TYMPANOTOMY","ANESTH, TYMPANOTOMY"
00140,ANESTHESIA FOR PROCEDURES ON EYE  NOT OTHERWISE SPECIFIED,"ANESTH, PROCEDURES ON EYE"
00142,ANESTHESIA FOR PROCEDURES ON EYE  LENS SURGERY,"ANESTH, LENS SURGERY"
00144,ANESTHESIA FOR PROCEDURES ON EYE  CORNEAL TRANSPLANT,"ANESTH, CORNEAL TRANSPLANT"
00145,ANESTHESIA FOR PROCEDURES ON EYE  VITREORETINAL SURGERY,"ANESTHES,VITREORETINAL SURGERY"
00147,ANESTHESIA FOR PROCEDURES ON EYE  IRIDECTOMY,"ANESTH, IRIDECTOMY"
00148,ANESTHESIA FOR PROCEDURES ON EYE  OPHTHALMOSCOPY,"ANESTH, EYE EXAM"
00160,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES NOT OTHERWISE SPECIFIED,"ANESTH, NOSE/SINUS SURGERY"
00162,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES RADICAL SURGERY,"ANESTH, NOSE/SINUS SURGERY"
00164,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES BIOPSY, SOFT TISSUE","ANESTH, BIOPSY OF NOSE"
00170,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY NOT OTHERWISE SPECIFIED","ANESTH, PROCEDURE ON MOUTH"
00172,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY REPAIR OF CLEFT PALATE","ANESTH, CLEFT PALATE REPAIR"
00174,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY EXCISION OF RETROPHARYNGEAL TUMOR","ANESTH, PHARYNGEAL SURGERY"
00176,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY RADICAL SURGERY","ANESTH, PHARYNGEAL SURGERY"
00190,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL NOT OTHERWISE SPECIFIED,"ANES,FACIAL BONE/SKULL NOS"
00192,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL RADICAL SURGERY (INCLUDING PROGNATHISM),"ANES,FACE BNE/SKULL RADCL SURG"
00210,ANESTHESIA FOR INTRACRANIAL PROCEDURES NOT OTHERWISE SPECIFIED,"ANESTH, OPEN HEAD SURGERY"
00212,ANESTHESIA FOR INTRACRANIAL PROCEDURES SUBDURAL TAPS,"ANESTH, SKULL DRAINAGE"
00214,"ANESTHESIA FOR INTRACRANIAL PROCEDURES BURR HOLES, INCLUDING VENTRICULOGRAPHY","ANESTH, SKULL DRAINAGE"
00215,"ANESTHESIA FOR INTRACRANIAL PROCEDURES CRANIOPLASTY OR ELEVATION OF DEPRESSED SKULL FRACTURE, EXTRADURAL (SIMPLE OR COMPOUND)","ANES INTRACRN CRANIOPLS,XTRADR"
00216,ANESTHESIA FOR INTRACRANIAL PROCEDURES VASCULAR PROCEDURES,"ANESTH, HEAD VESSEL SURGERY"
00218,ANESTHESIA FOR INTRACRANIAL PROCEDURES PROCEDURES IN SITTING POSITION,"ANESTH, SPECIAL HEAD SURGERY"
00220,ANESTHESIA FOR INTRACRANIAL PROCEDURES CEREBROSPINAL FLUID SHUNTING PROCEDURES,"ANESTH, INTRCRN NERVE"
00222,ANESTHESIA FOR INTRACRANIAL PROCEDURES ELECTROCOAGULATION OF INTRACRANIAL NERVE,"ANESTH, HEAD NERVE SURGERY"
00300,"ANESTHESIA FOR ALL PROCEDURES ON THE INTEGUMENTARY SYSTEM, MUSCLES AND NERVES OF HEAD, NECK, AND POSTERIOR TRUNK, NOT OTHERWISE SPECIFIED","ANESTH, HEAD/NECK/PTRUNK"
71275,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, CHEST, WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS, INCLUDING IMAGE P","CT ANGIO,CHEST,WO CONT MAT,IMG",#NAME?
71550,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, CHEST (EG, FOR EVALUATION OF HILAR AND MEDIASTINAL LYMPHADENOPATHY) WITHOUT CONTRAST MATERIAL(S)","MRI IMG,CHST WO CNTRST MATRIAL",
71551,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, CHEST (EG, FOR EVALUATION OF HILAR AND MEDIASTINAL LYMPHADENOPATHY) WITH CONTRAST MATERIAL(S)","MAG RES IMAG,CHEST W CONT MAT",
71552,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, CHEST (EG, FOR EVALUATION OF HILAR AND MEDIASTINAL LYMPHADENOPATHY) WITHOUT CONTRAST MATERIAL(S), FOL","MAG RES IMAG,CHEST WO CONT MAT",ED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES
71555,"MAGNETIC RESONANCE ANGIOGRAPHY, CHEST (EXCLUDING MYOCARDIUM), WITH OR WITHOUT CONTRAST MATERIAL(S)","MAGNETIC IMAGE, CHEST (MRA)",
72010,"RADIOLOGIC EXAMINATION, SPINE, ENTIRE, SURVEY STUDY, ANTEROPOSTERIOR AND LATERAL",X-RAY EXAM OF SPINE,
72020,"RADIOLOGIC EXAMINATION, SPINE, SINGLE VIEW, SPECIFY LEVEL",X-RAY EXAM OF SPINE,
72040,"RADIOLOGIC EXAMINATION, SPINE, CERVICAL TWO OR THREE VIEWS","RAD EXAM,SPINE,CERVICAL 2/3 VW",
72050,"RADIOLOGIC EXAMINATION, SPINE, CERVICAL MINIMUM OF FOUR VIEWS",X-RAY EXAM OF NECK SPINE,
72052,"RADIOLOGIC EXAMINATION, SPINE, CERVICAL COMPLETE, INCLUDING OBLIQUE AND FLEXION AND/OR EXTENSION STUDIES",X-RAY EXAM OF NECK SPINE,
72069,"RADIOLOGIC EXAMINATION, SPINE, THORACOLUMBAR, STANDING (SCOLIOSIS)",X-RAY EXAM OF TRUNK SPINE,
72070,"RADIOLOGIC EXAMINATION, SPINE THORACIC, TWO VIEWS","RAD EXAM,SPINE THORACIC,2 VW",
72072,"RADIOLOGIC EXAMINATION, SPINE THORACIC, THREE VIEWS","RAD EXAM,SPINE THORACIC,3 VW",
72074,"RADIOLOGIC EXAMINATION, SPINE THORACIC, MINIMUM OF FOUR VIEWS","RAD EXAM,SPINE THORAC,MIN 4 VW",
72080,"RADIOLOGIC EXAMINATION, SPINE THORACOLUMBAR, TWO VIEWS","RAD EXAM,SPINE THRACOLUMB,2 VW"
72090,"RADIOLOGIC EXAMINATION, SPINE SCOLIOSIS STUDY, INCLUDING SUPINE AND ERECT STUDIES",X-RAY EXAM OF TRUNK SPINE
72100,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL TWO OR THREE VIEWS","RAD EXM,SPINE,LUMBOSCRL 2/3 VW"
72110,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL MINIMUM OF FOUR VIEWS","RAD EXM,SPN,LUMBOSCRL MIN 4 VW"
72114,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL COMPLETE, INCLUDING BENDING VIEWS",X-RAY EXAM OF LOWER SPINE
72120,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL, BENDING VIEWS ONLY, MINIMUM OF FOUR VIEWS",X-RAY EXAM OF LOWER SPINE
72125,"COMPUTED TOMOGRAPHY, CERVICAL SPINE WITHOUT CONTRAST MATERIAL",CT CRVICL SPINE WO CNTRST MAT
72126,"COMPUTED TOMOGRAPHY, CERVICAL SPINE WITH CONTRAST MATERIAL",CT CRVCL SPNE W CNTRST MAT
72127,"COMPUTED TOMOGRAPHY, CERVICAL SPINE WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT CRV SPN WO CNTR MAT FUR SEC
72128,"COMPUTED TOMOGRAPHY, THORACIC SPINE WITHOUT CONTRAST MATERIAL",CT THORACIC SPN WO CNTRST MAT
72129,"COMPUTED TOMOGRAPHY, THORACIC SPINE WITH CONTRAST MATERIAL",CT THORACIC SPN W CNTRST MAT
72130,"COMPUTED TOMOGRAPHY, THORACIC SPINE WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT THRA SPN WO CNT MAT FUR SEC
72131,"COMPUTED TOMOGRAPHY, LUMBAR SPINE WITHOUT CONTRAST MATERIAL","CT LUMBAR SPNE, WO CNTRST MAT"
72132,"COMPUTED TOMOGRAPHY, LUMBAR SPINE WITH CONTRAST MATERIAL","CT LUMBAR SPNE, W CNTRST MAT"
72133,"COMPUTED TOMOGRAPHY, LUMBAR SPINE WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT LMBR WO CNTR MAT FUR SEC
72141,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, CERVICAL WITHOUT CONTRAST MATERIAL","MAGNETIC IMAGE, NECK SPINE"
72142,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, CERVICAL WITH CONTRAST MATERIAL(S)","MAGNETIC IMAGE, NECK SPINE",
72146,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, THORACIC WITHOUT CONTRAST MATERIAL","MAGNETIC IMAGE, CHEST SPINE",
72147,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, THORACIC WITH CONTRAST MATERIAL(S)","MAGNETIC IMAGE, CHEST SPINE",
72148,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, LUMBAR WITHOUT CONTRAST MATERIAL","MAGNETIC IMAGE, LUMBAR SPINE",
72149,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, LUMBAR WITH CONTRAST MATERIAL(S)","MAGNETIC IMAGE, LUMBAR SPINE",
72156,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQ","MAGNETIC IMAGE, NECK SPINE",CES CERVICAL
72157,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQ","MAGNETIC IMAGE, CHEST SPINE",CES THORACIC
72158,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQ","MAGNETIC IMAGE, LUMBAR SPINE",CES LUMBAR
72159,"MAGNETIC RESONANCE ANGIOGRAPHY, SPINAL CANAL AND CONTENTS, WITH OR WITHOUT CONTRAST MATERIAL(S)","MAGNETIC IMAGE, SPINE (MRA)",
72170,"RADIOLOGIC EXAMINATION, PELVIS ONE OR TWO VIEWS","RAD EXAM,PELVIS 1 OR 2 VIEWS",
72190,"RADIOLOGIC EXAMINATION, PELVIS COMPLETE, MINIMUM OF THREE VIEWS",X-RAY EXAM OF PELVIS,
72191,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, PELVIS, WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS, INCLUDING IMAGE","CT ANGIO,PELVIS,WO CONT MAT",T-PROCESSING
72192,"COMPUTED TOMOGRAPHY, PELVIS WITHOUT CONTRAST MATERIAL","CT PELVIS, WO CONTRAST MATERIA",
72193,"COMPUTED TOMOGRAPHY, PELVIS WITH CONTRAST MATERIAL(S)","CT PELVIS, W CONTRAST MATERIAL",
72194,"COMPUTED TOMOGRAPHY, PELVIS WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT PLVS WO CNTRST MAT FUR SEC,
72195,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, PELVIS WITHOUT CONTRAST MATERIAL(S)","MAG RES IMG,PELVIS WO CONT MAT",
72196,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, PELVIS WITH CONTRAST MATERIAL(S)","MRI,PELVIS W CONTRST MAT(S)"
72197,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, PELVIS WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES","MAG RES IMG,PELV WO,W CONT MAT"
72198,"MAGNETIC RESONANCE ANGIOGRAPHY, PELVIS, WITH OR WITHOUT CONTRAST MATERIAL(S)","MAGNETIC IMAGE, PELVIS (MRA)"
72200,"RADIOLOGIC EXAMINATION, SACROILIAC JOINTS LESS THAN THREE VIEWS",X-RAY EXAM SACROILIAC JOINTS
72202,"RADIOLOGIC EXAMINATION, SACROILIAC JOINTS THREE OR MORE VIEWS",X-RAY EXAM SACROILIAC JOINTS
72220,"RADIOLOGIC EXAMINATION, SACRUM AND COCCYX, MINIMUM OF TWO VIEWS",X-RAY EXAM OF TAILBONE
72240,"MYELOGRAPHY, CERVICAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION",CONTRAST X-RAY OF NECK SPINE
72255,"MYELOGRAPHY, THORACIC, RADIOLOGICAL SUPERVISION AND INTERPRETATION","CONTRAST X-RAY, THORAX SPINE"
72265,"MYELOGRAPHY, LUMBOSACRAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION","CONTRAST X-RAY, LOWER SPINE"
72270,"MYELOGRAPHY, ENTIRE SPINAL CANAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION",CONTRAST X-RAY OF SPINE
72275,"EPIDUROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",EPIDUROGRAPHY
72285,"DISKOGRAPHY, CERVICAL OR THORACIC, RADIOLOGICAL SUPERVISION AND INTERPRETATION",X-RAY C/T SPINE DISK
72295,"DISKOGRAPHY, LUMBAR, RADIOLOGICAL SUPERVISION AND INTERPRETATION",X-RAY OF LOWER SPINE DISK
73000,"RADIOLOGIC EXAMINATION CLAVICLE, COMPLETE",X-RAY EXAM OF COLLAR BONE
73010,"RADIOLOGIC EXAMINATION SCAPULA, COMPLETE",X-RAY EXAM OF SHOULDER BLADE
73020,"RADIOLOGIC EXAMINATION, SHOULDER ONE VIEW",X-RAY EXAM OF SHOULDER
73030,"RADIOLOGIC EXAMINATION, SHOULDER COMPLETE, MINIMUM OF TWO VIEWS",X-RAY EXAM OF SHOULDER
73040,"RADIOLOGIC EXAMINATION, SHOULDER, ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",CONTRAST X-RAY OF SHOULDER
73050,"RADIOLOGIC EXAMINATION ACROMIOCLAVICULAR JOINTS, BILATERAL, WITH OR WITHOUT WEIGHTED DISTRACTION",X-RAY EXAM OF SHOULDERS
73060,"RADIOLOGIC EXAMINATION HUMERUS, MINIMUM OF TWO VIEWS",X-RAY EXAM OF HUMERUS
73070,"RADIOLOGIC EXAMINATION, ELBOW TWO VIEWS","RADIOLOGIC EXAM,ELBOW 2 VIEWS"
73080,"RADIOLOGIC EXAMINATION, ELBOW COMPLETE, MINIMUM OF THREE VIEWS",X-RAY EXAM OF ELBOW
73085,"RADIOLOGIC EXAMINATION, ELBOW, ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",CONTRAST X-RAY OF ELBOW
73090,"RADIOLOGIC EXAMINATION FOREARM, TWO VIEWS","RADIOLOGIC EXAM FOREARM,2 VIEW"
73092,"RADIOLOGIC EXAMINATION UPPER EXTREMITY, INFANT, MINIMUM OF TWO VIEWS","X-RAY EXAM OF ARM, INFANT"
73100,"RADIOLOGIC EXAMINATION, WRIST TWO VIEWS","RADIOLOGIC EXAM,WRIST 2 VIEWS"
73110,"RADIOLOGIC EXAMINATION, WRIST COMPLETE, MINIMUM OF THREE VIEWS",X-RAY EXAM OF WRIST
73115,"RADIOLOGIC EXAMINATION, WRIST, ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",CONTRAST X-RAY OF WRIST
73120,"RADIOLOGIC EXAMINATION, HAND TWO VIEWS",X-RAY EXAM OF HAND
73130,"RADIOLOGIC EXAMINATION, HAND MINIMUM OF THREE VIEWS",X-RAY EXAM OF HAND
73140,"RADIOLOGIC EXAMINATION, FINGER(S), MINIMUM OF TWO VIEWS",X-RAY EXAM OF FINGER(S)
73200,"COMPUTED TOMOGRAPHY, UPPER EXTREMITY WITHOUT CONTRAST MATERIAL",CT UP EXTRM WO CNTRAST MATERIA
73201,"COMPUTED TOMOGRAPHY, UPPER EXTREMITY WITH CONTRAST MATERIAL(S)",CT UP EXTRM W CNTRAST MATERIAL,
73202,"COMPUTED TOMOGRAPHY, UPPER EXTREMITY WITHOUT CONTRAST MATERIAL,FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT UP EXTM WO CNTR MAT FUR SEC,
73206,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, UPPER EXTREMITY, WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS, INCLUDI","CT ANGIO,UP EXTRM,WO,W CON MAT",IMAGE POST-PROCESSING
73218,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, UPPER EXTREMITY, OTHER THAN JOINT WITHOUT CONTRAST MATERIAL(S)","MAG RES IMG,UP EXT,NO JT WO CM",
73219,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, UPPER EXTREMITY, OTHER THAN JOINT WITH CONTRAST MATERIAL(S)","MAG RES IMG,UP EXT,NO JT W CM",
73220,"MAGNETIC RESONANCE IMAGING, UPPER EXTREMITY, OTHER THAN JOINT WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUE",MRI UPPR EXTREMITY W/O&W DYE,S
73221,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ANY JOINT OF UPPER EXTREMITY WITHOUT CONTRAST MATERIAL(S)","MRI,JOINT,UP EXTRM WO CONT MAT",
73222,"MAGNETIC RESONANCE IMAGING, ANY JOINT OF UPPER EXTREMITY WITH CONTRAST MATERIAL(S)",MRI JOINT UPR EXTREM W/ DYE,
73223,"MAGNETIC RESONANCE IMAGING, ANY JOINT OF UPPER EXTREMITY WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES",MRI JOINT UPR EXTR W/O&W DYE,
73225,"MAGNETIC RESONANCE ANGIOGRAPHY, UPPER EXTREMITY, WITH OR WITHOUT CONTRAST MATERIAL(S)","MAGNETIC IMAGE, UPPER (MRA)",
73500,"RADIOLOGIC EXAMINATION, HIP UNILATERAL ONE VIEW",X-RAY EXAM OF HIP,
73510,"RADIOLOGIC EXAMINATION, HIP UNILATERAL COMPLETE, MINIMUM OF TWO VIEWS",X-RAY EXAM OF HIP,
73520,"RADIOLOGIC EXAMINATION, HIPS, BILATERAL, MINIMUM OF TWO VIEWS OF EACH HIP, INCLUDING ANTEROPOSTERIOR VIEW OF PELVIS",X-RAY EXAM OF HIPS,
73525,"RADIOLOGIC EXAMINATION, HIP, ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",CONTRAST X-RAY OF HIP,
73530,"RADIOLOGIC EXAMINATION, HIP, DURING OPERATIVE PROCEDURE",X-RAY EXAM OF HIP,
73540,"RADIOLOGIC EXAMINATION, PELVIS AND HIPS, INFANT OR CHILD, MINIMUM OF TWO VIEWS",X-RAY EXAM OF PELVIS & HIPS,
73542,"RADIOLOGICAL EXAMINATION, SACROILIAC JOINT ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION","X-RAY EXAM, SACROILIAC JOINT"
73550,"RADIOLOGIC EXAMINATION, FEMUR, TWO VIEWS","RADIOLOGIC EXAM,FEMUR,2 VIEWS"
73560,"RADIOLOGIC EXAMINATION, KNEE ONE OR TWO VIEWS","X-RAY EXAM OF KNEE, 1 OR 2"
73562,"RADIOLOGIC EXAMINATION, KNEE THREE VIEWS","X-RAY EXAM OF KNEE, 3"
73564,"RADIOLOGIC EXAMINATION, KNEE COMPLETE, FOUR OR MORE VIEWS","X-RAY EXAM, KNEE, 4 OR MORE"
73565,"RADIOLOGIC EXAMINATION, KNEE BOTH KNEES, STANDING, ANTEROPOSTERIOR",X-RAY EXAM OF KNEES
73580,"RADIOLOGIC EXAMINATION, KNEE, ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",CONTRAST X-RAY OF KNEE JOINT
73590,"RADIOLOGIC EXAMINATION TIBIA AND FIBULA, TWO VIEWS","RADIOLOG EXAM TIBIA&FIBLA,2 VW"
73592,"RADIOLOGIC EXAMINATION LOWER EXTREMITY, INFANT, MINIMUM OF TWO VIEWS","X-RAY EXAM OF LEG, INFANT"
73600,"RADIOLOGIC EXAMINATION, ANKLE TWO VIEWS","RADIOLOGIC EXAM,ANKLE 2 VIEWS"
73610,"RADIOLOGIC EXAMINATION, ANKLE COMPLETE, MINIMUM OF THREE VIEWS",X-RAY EXAM OF ANKLE
73615,"RADIOLOGIC EXAMINATION, ANKLE, ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",CONTRAST X-RAY OF ANKLE
73620,"RADIOLOGIC EXAMINATION, FOOT TWO VIEWS","RADIOLOGIC EXAM,FOOT 2 VIEWS"
73630,"RADIOLOGIC EXAMINATION, FOOT COMPLETE, MINIMUM OF THREE VIEWS",X-RAY EXAM OF FOOT
73650,"RADIOLOGIC EXAMINATION CALCANEUS, MINIMUM OF TWO VIEWS",X-RAY EXAM OF HEEL
73660,"RADIOLOGIC EXAMINATION TOE(S), MINIMUM OF TWO VIEWS",X-RAY EXAM OF TOE(S)
73700,"COMPUTED TOMOGRAPHY, LOWER EXTREMITY WITHOUT CONTRAST MATERIAL",CT LW EXTRM WO CNTRAST MATERIA,
73701,"COMPUTED TOMOGRAPHY, LOWER EXTREMITY WITH CONTRAST MATERIAL(S)",CT LOWER EXTREMITY W/DYE,
73702,"COMPUTED TOMOGRAPHY, LOWER EXTREMITY WITHOUT CONTRAST MATERIAL,FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT LW EXTM WO CNTR MAT FUR SEC,
73706,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, LOWER EXTREMITY, WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS, INCLUDI","CT ANGIO,LOW EXT,WO,W CONT MAT",IMAGE POST-PROCESSING
73718,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, LOWER EXTREMITY OTHER THAN JOINT WITHOUT CONTRAST MATERIAL(S)","MAG RES IMG,LW EXT,NO JT WO CM",
73719,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, LOWER EXTREMITY OTHER THAN JOINT WITH CONTRAST MATERIAL(S)","MAG RES IMG,LOW EXT,NO JT W CM",
73720,"MAGNETIC RESONANCE IMAGING, LOWER EXTREMITY OTHER THAN JOINT WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUEN",MRI LWR EXTREMITY W/O&W DYE,
73721,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ANY JOINT OF LOWER EXTREMITY WITHOUT CONTRAST MATERIAL","MRI,JNT,LOW EXT WO CNTRST MAT",
73722,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ANY JOINT OF LOWER EXTREMITY WITH CONTRAST MATERIAL(S)","MAG RES IMG,ANY JT,LW EXT W CM",
73723,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ANY JOINT OF LOWER EXTREMITY WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTH","MAG RES IM,ANY JT,LW EXT WO CM",SEQUENCES
73725,"MAGNETIC RESONANCE ANGIOGRAPHY, LOWER EXTREMITY, WITH OR WITHOUT CONTRAST MATERIAL(S)",MAGNETIC IMAGE/LOWER (MRA),
74000,"RADIOLOGIC EXAMINATION, ABDOMEN SINGLE ANTEROPOSTERIOR VIEW",X-RAY EXAM OF ABDOMEN,
74010,"RADIOLOGIC EXAMINATION, ABDOMEN ANTEROPOSTERIOR AND ADDITIONAL OBLIQUE AND CONE VIEWS",X-RAY EXAM OF ABDOMEN,
74020,"RADIOLOGIC EXAMINATION, ABDOMEN COMPLETE, INCLUDING DECUBITUS AND/OR ERECT VIEWS",X-RAY EXAM OF ABDOMEN,
74022,"RADIOLOGIC EXAMINATION, ABDOMEN COMPLETE ACUTE ABDOMEN SERIES, INCLUDING SUPINE, ERECT, AND/OR DECUBITUS VIEWS, SINGLE VIEW CHEST","RADIO EXAM ABDM,SNGL VIEW CHST",
74150,"COMPUTED TOMOGRAPHY, ABDOMEN WITHOUT CONTRAST MATERIAL","CT, ABDOM WO CNTRAST MATERIAL",
74160,"COMPUTED TOMOGRAPHY, ABDOMEN WITH CONTRAST MATERIAL(S)","CT, ABDOM W CNTRAST MATERIAL",
74170,"COMPUTED TOMOGRAPHY, ABDOMEN WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT ABDOM WO CNTRST MAT FUR SEC,
74175,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, ABDOMEN, WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS, INCLUDING IMAGE","CT ANGIO,ABDOMEN,WO,W CONT MAT",ST-PROCESSING
74181,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ABDOMEN WITHOUT CONTRAST MATERIAL(S)","MRI, ABDOMEN WO CNTRST MAT",
74182,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ABDOMEN WITH CONTRAST MATERIAL(S)","MAG RES IMG,ABDOMEN W CONT MAT",
74183,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ABDOMEN WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY WITH CONTRAST MATERIAL(S) AND FURTHER SEQUENCES","MAG RES IM,ABDOMEN WO,W CON MT",
74185,"MAGNETIC RESONANCE ANGIOGRAPHY, ABDOMEN, WITH OR WITHOUT CONTRAST MATERIAL(S)",MAGNETIC IMAGE/ABDOMEN (MRA),
